relation,count,distinct_heads,distinct_tails,distinct_pairs,specificity
là Phó Hiệu trưởng của,1,1,1,1,1.0
là Phó trưởng phòng của,1,1,1,1,1.0
"nâng cao hiệu lực, hiệu quả trong",1,1,1,1,1.0
góp phần hỗ trợ,1,1,1,1,1.0
thực hiện thắng lợi,1,1,1,1,1.0
đồng ý với,1,1,1,1,1.0
góp ý về,1,1,1,1,1.0
hứa,1,1,1,1,1.0
nêu cao,1,1,1,1,1.0
hoàn thành xuất sắc,1,1,1,1,1.0
tái cử,1,1,1,1,1.0
hoàn thành tốt,1,1,1,1,1.0
được xếp vào top,1,1,1,1,1.0
đứng đầu bởi,1,1,1,1,1.0
chủ nhiệm bởi,1,1,1,1,1.0
công bố hơn,1,1,1,1,1.0
tự khẳng định,1,1,1,1,1.0
có lối sống,1,1,1,1,1.0
thời gian thử thách,1,1,1,1,1.0
bày tỏ vui mừng khi,1,1,1,1,1.0
giống với,1,1,1,1,1.0
tập trung kỹ thuật,1,1,1,1,1.0
đảm bảo giữa,1,1,1,1,1.0
tiên phong làm mẫu cho,1,1,1,1,1.0
mang vị,1,1,1,1,1.0
cần quan tâm đến,1,1,1,1,1.0
xúc động khi được nghe,1,1,1,1,1.0
xem xét cấp,1,1,1,1,1.0
là xu thế,1,1,1,1,1.0
tạo giá trị mới,1,1,1,1,1.0
đề xuất để nâng cao,1,1,1,1,1.0
đề xuất để cải thiện,1,1,1,1,1.0
các năm,1,1,1,1,1.0
đào tạo học tập tại,1,1,1,1,1.0
có đội tuyển thi tại,1,1,1,1,1.0
đạt thành tích cao nhất,1,1,1,1,1.0
có nhóm,1,1,1,1,1.0
nhằm biến,1,1,1,1,1.0
để phát triển,1,1,1,1,1.0
nói rằng,1,1,1,1,1.0
giúp rèn luyện,1,1,1,1,1.0
được tập huấn tại,1,1,1,1,1.0
tổ chức tập huấn cho,1,1,1,1,1.0
công nhận đạt chuẩn,1,1,1,1,1.0
được chứng nhận tại,1,1,1,1,1.0
bế mạc phiên,1,1,1,1,1.0
đạt chuẩn chất lượng,1,1,1,1,1.0
nghiên cứu cấu trúc,1,1,1,1,1.0
nghiên cứu tính chất,1,1,1,1,1.0
thực hiện chế tạo,1,1,1,1,1.0
là cán bộ hướng dẫn,1,1,1,1,1.0
được gắn với chuyên mục,1,1,1,1,1.0
trong quá trình phát triển,1,1,1,1,1.0
là một bước trong,1,1,1,1,1.0
được kỳ vọng phát triển,1,1,1,1,1.0
hướng dẫn tập trung nghiên cứu,1,1,1,1,1.0
được GS. Nguyễn Đình Đức xác định,1,1,1,1,1.0
tìm hiểu và nắm bắt,1,1,1,1,1.0
định hướng nghiên cứu cho,1,1,1,1,1.0
đôn đốc và kiểm tra,1,1,1,1,1.0
phát triển thành,1,1,1,1,1.0
đặc biệt có,1,1,1,1,1.0
cổ vũ tinh thần,1,1,1,1,1.0
là nguồn động viên,1,1,1,1,1.0
bày tỏ sự vinh dự vì,1,1,1,1,1.0
quan trọng trong,1,1,1,1,1.0
đang triển khai đưa,1,1,1,1,1.0
có thể hỏi về,1,1,1,1,1.0
phải có chính sách bảo vệ bằng cách,1,1,1,1,1.0
tăng cao,1,1,1,1,1.0
làm nảy sinh,1,1,1,1,1.0
phải thay đổi hoặc bổ sung,1,1,1,1,1.0
dùng thay thế,1,1,1,1,1.0
đăng ký sáng chế,1,1,1,1,1.0
công nhận hồ sơ hợp lệ,1,1,1,1,1.0
được hỗ trợ mạnh mẽ bởi,1,1,1,1,1.0
được cấp bằng sáng chế,1,1,1,1,1.0
cấp bằng sáng chế cho,1,1,1,1,1.0
được gắn kết chặt chẽ với,1,1,1,1,1.0
rất khó,1,1,1,1,1.0
có nhiều bài báo về,1,1,1,1,1.0
có hiệu quả nhất để,1,1,1,1,1.0
cần sự kết hợp chặt chẽ với,1,1,1,1,1.0
là mô hình của,1,1,1,1,1.0
Làm chủ công nghệ thiết kế,1,1,1,1,1.0
được thiết kế bằng,1,1,1,1,1.0
lấp,1,1,1,1,1.0
là thông số,1,1,1,1,1.0
đã cùng,1,1,1,1,1.0
có khả năng trơ trong,1,1,1,1,1.0
là vật liệu,1,1,1,1,1.0
được dùng thay thế,1,1,1,1,1.0
ký quyết định thành lập,1,1,1,1,1.0
chỉ hỗ trợ phần,1,1,1,1,1.0
theo đơn đặt hàng từ,1,1,1,1,1.0
đạt hiệu quả để,1,1,1,1,1.0
giúp sản phẩm,1,1,1,1,1.0
cần đồng hành với,1,1,1,1,1.0
đạt thành công nhờ,1,1,1,1,1.0
đặt chuông,1,1,1,1,1.0
hiểu là,1,1,1,1,1.0
tham gia đưa tin về,1,1,1,1,1.0
định tuyến,1,1,1,1,1.0
được đặt theo,1,1,1,1,1.0
mở trang web,1,1,1,1,1.0
được qui về,1,1,1,1,1.0
tinh chỉnh,1,1,1,1,1.0
bắt đầu dự án,1,1,1,1,1.0
kết thúc dự án,1,1,1,1,1.0
hoàn thành trong,1,1,1,1,1.0
hoàn thiện để,1,1,1,1,1.0
có khả năng giải quyết,1,1,1,1,1.0
được hỗ trợ ở,1,1,1,1,1.0
mục tiêu giảm,1,1,1,1,1.0
thích nghi theo,1,1,1,1,1.0
có bài đăng,1,1,1,1,1.0
đạt cúp vàng,1,1,1,1,1.0
được học thuộc để,1,1,1,1,1.0
được nhắm giảm bởi,1,1,1,1,1.0
đào tạo thành công,1,1,1,1,1.0
tiếp tục đào tạo,1,1,1,1,1.0
cải tiến tiếp,1,1,1,1,1.0
đang bắt tay vào,1,1,1,1,1.0
hỗ trợ giám sát tại,1,1,1,1,1.0
xử lý độ phân giải,1,1,1,1,1.0
hoạt động ở tần số,1,1,1,1,1.0
nhằm mục tiêu giảm,1,1,1,1,1.0
trực tiếp dẫn tới,1,1,1,1,1.0
sau đó không mặn mà,1,1,1,1,1.0
phải bỏ cuộc vì,1,1,1,1,1.0
đứng giữa,1,1,1,1,1.0
cảm thấy tiếc vì,1,1,1,1,1.0
được động viên,1,1,1,1,1.0
không có đường lui,1,1,1,1,1.0
tìm,1,1,1,1,1.0
giúp tôi yên tâm,1,1,1,1,1.0
quán triệt và tổ chức lại cho,1,1,1,1,1.0
tiếp tục khắc phục,1,1,1,1,1.0
khi xảy ra thì,1,1,1,1,1.0
được dồn để,1,1,1,1,1.0
nhận sáng kiến từ,1,1,1,1,1.0
được Phó Giám đốc đại diện bởi,1,1,1,1,1.0
cần gắn kết với,1,1,1,1,1.0
cần hợp tác với,1,1,1,1,1.0
cần chuyển giao,1,1,1,1,1.0
cần có chính sách thu hút và giữ chân,1,1,1,1,1.0
có nhận xét phản biện,1,1,1,1,1.0
phát biểu kết luận tại,1,1,1,1,1.0
thông báo kết quả đề cử,1,1,1,1,1.0
nhận email,1,1,1,1,1.0
đơn vị công tác,1,1,1,1,1.0
có thể gửi qua,1,1,1,1,1.0
là hạn,1,1,1,1,1.0
được gợi ý trong,1,1,1,1,1.0
có thể hỗ trợ,1,1,1,1,1.0
là công cụ cho,1,1,1,1,1.0
không tiếp xúc,1,1,1,1,1.0
ba pha,1,1,1,1,1.0
là tạp chí duy nhất,1,1,1,1,1.0
sớm tiếp nhận,1,1,1,1,1.0
có cơ chế tự chủ cao,1,1,1,1,1.0
có hệ thống quản trị tiên tiến,1,1,1,1,1.0
cần có đóng góp,1,1,1,1,1.0
đào tạo cho,1,1,1,1,1.0
xây dựng và triển khai,1,1,1,1,1.0
tham gia giải pháp xây dựng,1,1,1,1,1.0
kiện toàn sau,1,1,1,1,1.0
được tái đắc cử bởi,1,1,1,1,1.0
không chỉ,1,1,1,1,1.0
được lan tỏa qua,1,1,1,1,1.0
yêu cầu có khả năng lập trình bằng,1,1,1,1,1.0
tối đa lên đến,1,1,1,1,1.0
thời gian tốt nghiệp,1,1,1,1,1.0
được chấp nhận nếu,1,1,1,1,1.0
không chấp nhận nếu,1,1,1,1,1.0
được luyện tập với,1,1,1,1,1.0
dự kiến thời gian gia nhập,1,1,1,1,1.0
đăng ký và ứng tuyển,1,1,1,1,1.0
có Fanpage,1,1,1,1,1.0
kiêm,1,1,1,1,1.0
cống hiến trong,1,1,1,1,1.0
trở thành thói quen,1,1,1,1,1.0
bắt đầu truyền lửa,1,1,1,1,1.0
phải mang tinh thần,1,1,1,1,1.0
quan trọng nhất là,1,1,1,1,1.0
gửi từ,1,1,1,1,1.0
bày tỏ lời kính thưa tới,1,1,1,1,1.0
tác động lên,1,1,1,1,1.0
là hướng đi trọng tâm,1,1,1,1,1.0
là hướng đi trọng điểm,1,1,1,1,1.0
coi là,1,1,1,1,1.0
giữ học vị,1,1,1,1,1.0
phát biểu thay mặt,1,1,1,1,1.0
xếp số 1 tại,1,1,1,1,1.0
có lĩnh vực xuất hiện trong,1,1,1,1,1.0
đứng đầu tại,1,1,1,1,1.0
trong bảng xếp hạng,1,1,1,1,1.0
công bố đợt,1,1,1,1,1.0
công bố kết quả vào ngày,1,1,1,1,1.0
phải phản ứng với,1,1,1,1,1.0
không chỉ bao gồm,1,1,1,1,1.0
không được xem như,1,1,1,1,1.0
liên tục thay đổi,1,1,1,1,1.0
đang xuất hiện,1,1,1,1,1.0
nếu cao hơn hoặc thấp hơn,1,1,1,1,1.0
kết quả có thể là,1,1,1,1,1.0
có thể bắt đầu,1,1,1,1,1.0
không bao giờ hoàn tất,1,1,1,1,1.0
là quá trình tự nhiên,1,1,1,1,1.0
không tự xảy ra,1,1,1,1,1.0
giúp dẫn dắt,1,1,1,1,1.0
được dẫn dắt để,1,1,1,1,1.0
khác biệt căn bản với,1,1,1,1,1.0
có kết nối với,1,1,1,1,1.0
bị thay thế một phần bởi,1,1,1,1,1.0
góp phần rút ngắn,1,1,1,1,1.0
được rút ngắn trong,1,1,1,1,1.0
góp phần tăng cường,1,1,1,1,1.0
giúp hiểu về,1,1,1,1,1.0
hướng dẫn bắt đầu xây dựng,1,1,1,1,1.0
đòi hỏi phối hợp,1,1,1,1,1.0
cần phối hợp trơn tru với,1,1,1,1,1.0
được thiết kế phù hợp cho,1,1,1,1,1.0
cần được tổ chức theo,1,1,1,1,1.0
có giá trị hơn,1,1,1,1,1.0
là tổ chức đào tạo về,1,1,1,1,1.0
đăng bài trên,1,1,1,1,1.0
thăm hỏi,1,1,1,1,1.0
đi thăm hỏi,1,1,1,1,1.0
gửi lời thăm hỏi,1,1,1,1,1.0
chúc sức khỏe,1,1,1,1,1.0
đã dành nhiều tâm huyết,1,1,1,1,1.0
đặt nền tảng xây dựng,1,1,1,1,1.0
phấn đấu giữ vững,1,1,1,1,1.0
phấn đấu phát huy,1,1,1,1,1.0
tham gia đoàn,1,1,1,1,1.0
gửi dữ liệu lên,1,1,1,1,1.0
được liên thông bằng,1,1,1,1,1.0
là nơi nảy sinh,1,1,1,1,1.0
mang lại kết quả,1,1,1,1,1.0
được giải phóng trong,1,1,1,1,1.0
cần thúc đẩy,1,1,1,1,1.0
tham mưu xây dựng,1,1,1,1,1.0
nhằm hình thành,1,1,1,1,1.0
sống được bằng,1,1,1,1,1.0
hướng sinh viên đến,1,1,1,1,1.0
để mang lại,1,1,1,1,1.0
đáp ứng nhanh,1,1,1,1,1.0
cần có chiến lược,1,1,1,1,1.0
có đầu cầu,1,1,1,1,1.0
dự kiến diễn ra vào ngày,1,1,1,1,1.0
dự phòng phương án đảm bảo,1,1,1,1,1.0
được trình bày lúc,1,1,1,1,1.0
ghi nhận thành tích,1,1,1,1,1.0
được khen thưởng trong,1,1,1,1,1.0
viết bài,1,1,1,1,1.0
được liệt kê trước,1,1,1,1,1.0
sử dụng kỹ thuật,1,1,1,1,1.0
phát triển phần mềm,1,1,1,1,1.0
cần giảm thiểu,1,1,1,1,1.0
là nguyện vọng,1,1,1,1,1.0
là tổng điểm,1,1,1,1,1.0
điểm đạt từ,1,1,1,1,1.0
yêu cầu ≥,1,1,1,1,1.0
được công nhận kết quả,1,1,1,1,1.0
được cập nhật vào,1,1,1,1,1.0
cần lưu ý phải,1,1,1,1,1.0
trước khi xét,1,1,1,1,1.0
tối đa là,1,1,1,1,1.0
là cơ hội,1,1,1,1,1.0
là thách thức,1,1,1,1,1.0
tự đăng ký,1,1,1,1,1.0
là theo,1,1,1,1,1.0
được phân công cho,1,1,1,1,1.0
tiếp nhận tại,1,1,1,1,1.0
bị phân ngành theo,1,1,1,1,1.0
hết sau,1,1,1,1,1.0
được hướng dẫn về,1,1,1,1,1.0
thông báo kết quả vào,1,1,1,1,1.0
tạo nguồn để bồi dưỡng,1,1,1,1,1.0
tạo cơ hội tiếp cận gần hơn với,1,1,1,1,1.0
cung cấp nguồn nhân lực,1,1,1,1,1.0
tạo nguồn cho,1,1,1,1,1.0
thu hút tham gia của,1,1,1,1,1.0
mở rộng cơ hội,1,1,1,1,1.0
giúp tạo dựng,1,1,1,1,1.0
tham gia thực tập tại,1,1,1,1,1.0
tham gia làm việc tại,1,1,1,1,1.0
có chứng nhận,1,1,1,1,1.0
sẽ du học tại,1,1,1,1,1.0
được Bộ Giáo dục và Đào tạo tin tưởng giao nhiệm vụ,1,1,1,1,1.0
tập huấn trong,1,1,1,1,1.0
có thể cạnh tranh với,1,1,1,1,1.0
tham gia chương trình trao đổi với,1,1,1,1,1.0
Trường ĐHCN xây dựng,1,1,1,1,1.0
trong ngành,1,1,1,1,1.0
xây dựng và phát triển trong,1,1,1,1,1.0
thuộc bảng xếp hạng,1,1,1,1,1.0
xếp hạng từ,1,1,1,1,1.0
xếp hạng đến,1,1,1,1,1.0
phân định thứ hạng sau khi,1,1,1,1,1.0
gồm tiêu chí,1,1,1,1,1.0
là vinh dự cho,1,1,1,1,1.0
có sự quan sát bởi,1,1,1,1,1.0
nhận học bổng thực tập của,1,1,1,1,1.0
giảng dạy trực tiếp tại,1,1,1,1,1.0
được tạo nguồn để bồi dưỡng,1,1,1,1,1.0
trực tiếp đào tạo,1,1,1,1,1.0
được cung cấp trải nghiệm,1,1,1,1,1.0
có thể thi,1,1,1,1,1.0
để làm việc tại,1,1,1,1,1.0
khẳng định vị thế của,1,1,1,1,1.0
khẳng định thương hiệu đào tạo của,1,1,1,1,1.0
đăng liên quan đến,1,1,1,1,1.0
nhận bằng trong,1,1,1,1,1.0
là chuyên viên,1,1,1,1,1.0
hủy lớp học phần do,1,1,1,1,1.0
hủy lớp học phần theo đề nghị của,1,1,1,1,1.0
được ghi chú cho,1,1,1,1,1.0
được dạy từ,1,1,1,1,1.0
sĩ số/đơn vị,1,1,1,1,1.0
giảng cùng,1,1,1,1,1.0
sau 20 năm xây dựng,1,1,1,1,1.0
tương ứng quy mô đào tạo,1,1,1,1,1.0
được đánh giá là một trong,1,1,1,1,1.0
nghiên cứu khoa học đã trở thành,1,1,1,1,1.0
được truyền lửa từ,1,1,1,1,1.0
truyền lửa nghiên cứu cho,1,1,1,1,1.0
đến tham gia,1,1,1,1,1.0
đạt thành tích cao trong,1,1,1,1,1.0
theo hướng áp dụng,1,1,1,1,1.0
gặp vướng mắc,1,1,1,1,1.0
đưa ra kết luận về,1,1,1,1,1.0
cho thấy ý nghĩa thực tế,1,1,1,1,1.0
nêu hướng nghiên cứu,1,1,1,1,1.0
yêu cầu cho,1,1,1,1,1.0
tiếp nhận thông tin từ,1,1,1,1,1.0
nhận thông tin chương trình vào,1,1,1,1,1.0
tồn tại,1,1,1,1,1.0
mô tả cho,1,1,1,1,1.0
để theo dõi bởi,1,1,1,1,1.0
có bộ phận thu,1,1,1,1,1.0
theo khung,1,1,1,1,1.0
có NCS,1,1,1,1,1.0
ban hành thông tin về,1,1,1,1,1.0
trân trọng thông báo về,1,1,1,1,1.0
được nghỉ dạy và học vào,1,1,1,1,1.0
được nghỉ dạy vào,1,1,1,1,1.0
được nghỉ học vào,1,1,1,1,1.0
có thông tin luận án tiến sĩ,1,1,1,1,1.0
khảo sát nhạy khí của,1,1,1,1,1.0
cấp học vị,1,1,1,1,1.0
thắc mắc,1,1,1,1,1.0
được báo về,1,1,1,1,1.0
thu trong thời gian,1,1,1,1,1.0
nghiên cứu đề tài,1,1,1,1,1.0
thực hiện sửa lỗi biên bằng,1,1,1,1,1.0
được cải thiện bằng cách,1,1,1,1,1.0
ưu tiên hướng có,1,1,1,1,1.0
được thi hành hiệu quả bằng,1,1,1,1,1.0
dùng mô hình tổ chức dữ liệu,1,1,1,1,1.0
được tập hợp lại trong,1,1,1,1,1.0
xuất hiện trong trang,1,1,1,1,1.0
có tóm tắt luận án,1,1,1,1,1.0
có thêm mục,1,1,1,1,1.0
có nhãn,1,1,1,1,1.0
diễn ra với đại biểu,1,1,1,1,1.0
nhằm thu thập,1,1,1,1,1.0
được Nhà trường tiếp nhận,1,1,1,1,1.0
giải quyết bằng,1,1,1,1,1.0
hướng tới đảm bảo,1,1,1,1,1.0
sử dụng nền tảng,1,1,1,1,1.0
triển khai kế hoạch cho,1,1,1,1,1.0
tổng hợp danh sách,1,1,1,1,1.0
khai báo vào,1,1,1,1,1.0
xét qua,1,1,1,1,1.0
đánh giá qua,1,1,1,1,1.0
cho điểm,1,1,1,1,1.0
báo cáo và đề nghị,1,1,1,1,1.0
xét cấp học bổng lần đầu cho,1,1,1,1,1.0
không đến trường khi,1,1,1,1,1.0
thông tin ngay cho,1,1,1,1,1.0
chủ động,1,1,1,1,1.0
thường xuyên rửa tay và khử khuẩn tại,1,1,1,1,1.0
không dùng chung,1,1,1,1,1.0
bỏ rác đúng nơi quy định tại,1,1,1,1,1.0
kịp thời báo cáo,1,1,1,1,1.0
phát hiện có biểu hiện không bình thường về sức khỏe của,1,1,1,1,1.0
có tập,1,1,1,1,1.0
xuất hiện cùng với,1,1,1,1,1.0
ràng buộc,1,1,1,1,1.0
có tập/số,1,1,1,1,1.0
có độ lợi,1,1,1,1,1.0
ứng dụng trong dải,1,1,1,1,1.0
được đề xuất theo,1,1,1,1,1.0
đề xuất tiến trình ba pha,1,1,1,1,1.0
tóm tắt kết quả mới,1,1,1,1,1.0
làm tăng độ chính xác,1,1,1,1,1.0
đạt tốt nhất là,1,1,1,1,1.0
tăng hiệu năng cho,1,1,1,1,1.0
sử dụng đặc trưng đầu vào là,1,1,1,1,1.0
tính trên,1,1,1,1,1.0
được gán nhãn cho,1,1,1,1,1.0
đánh giá nhà hàng,1,1,1,1,1.0
đạt điểm F1 tốt nhất,1,1,1,1,1.0
phục vụ tiền xử lý,1,1,1,1,1.0
kiểm tra chính tả bằng,1,1,1,1,1.0
được huấn luyện từ,1,1,1,1,1.0
không nộp học phí,1,1,1,1,1.0
bị ngừng cung cấp,1,1,1,1,1.0
nợ học phí,1,1,1,1,1.0
phối hợp nhắc,1,1,1,1,1.0
được nhắc nộp,1,1,1,1,1.0
tự thao tác đăng ký trên,1,1,1,1,1.0
mở thời gian đăng ký,1,1,1,1,1.0
tư vấn nhầm,1,1,1,1,1.0
theo chương trình,1,1,1,1,1.0
có thể thực hiện theo,1,1,1,1,1.0
có thể liên kết với,1,1,1,1,1.0
đến tài khoản của,1,1,1,1,1.0
qua số tài khoản,1,1,1,1,1.0
cho phép miễn học phí tại,1,1,1,1,1.0
miễn học phí tham dự,1,1,1,1,1.0
chuyển giao trước,1,1,1,1,1.0
hoàn thiện hồ sơ sau,1,1,1,1,1.0
chỉ nhận,1,1,1,1,1.0
phải sửa chữa theo,1,1,1,1,1.0
sửa chữa và hoàn thiện,1,1,1,1,1.0
được nhận học bổng Pony Chung,1,1,1,1,1.0
cùng tham chiếu,1,1,1,1,1.0
có tài liệu hướng dẫn,1,1,1,1,1.0
có thông tin trên mặt ngoài,1,1,1,1,1.0
có danh mục giấy tờ,1,1,1,1,1.0
là địa chỉ nhận,1,1,1,1,1.0
phải lưu ý,1,1,1,1,1.0
cần đảm bảo khi,1,1,1,1,1.0
được chuẩn bị trong,1,1,1,1,1.0
được đảm bảo theo,1,1,1,1,1.0
được tuân thủ theo,1,1,1,1,1.0
được gửi với,1,1,1,1,1.0
được xem số lượt,1,1,1,1,1.0
được hưởng trước,1,1,1,1,1.0
được đăng tải vào,1,1,1,1,1.0
có thời gian nộp,1,1,1,1,1.0
được nghỉ dạy,1,1,1,1,1.0
được nghỉ học,1,1,1,1,1.0
được giảng viên sắp xếp,1,1,1,1,1.0
ngày áp dụng,1,1,1,1,1.0
bắt đầu từ tháng,1,1,1,1,1.0
được miễn phí tham dự,1,1,1,1,1.0
hoàn thiện hồ sơ online bằng,1,1,1,1,1.0
phải scan,1,1,1,1,1.0
được lặp lại trong danh mục,1,1,1,1,1.0
là chương trình cho,1,1,1,1,1.0
được scan lại để,1,1,1,1,1.0
có thông tin cá nhân trên,1,1,1,1,1.0
ở địa chỉ,1,1,1,1,1.0
là chương trình dành cho,1,1,1,1,1.0
trao đổi sinh viên với,1,1,1,1,1.0
năm học triển khai,1,1,1,1,1.0
được lập bằng,1,1,1,1,1.0
được lưu trong,1,1,1,1,1.0
được lùi,1,1,1,1,1.0
có danh sách sinh viên đạt,1,1,1,1,1.0
xác định trong,1,1,1,1,1.0
cần lựa chọn đúng,1,1,1,1,1.0
hoặc bằng,1,1,1,1,1.0
còn thời hạn sử dụng,1,1,1,1,1.0
phải viết,1,1,1,1,1.0
"gửi ID, Password",1,1,1,1,1.0
nộp hồ sơ bản gốc,1,1,1,1,1.0
gửi hồ sơ đề cử,1,1,1,1,1.0
được sinh viên xếp,1,1,1,1,1.0
nhận công văn vào ngày,1,1,1,1,1.0
dự kiến sẽ bị,1,1,1,1,1.0
gia hạn thời gian nộp,1,1,1,1,1.0
được gia hạn đến,1,1,1,1,1.0
có dấu,1,1,1,1,1.0
ở dạng,1,1,1,1,1.0
cần sắp xếp,1,1,1,1,1.0
có thông tin ghi trên,1,1,1,1,1.0
phải tìm hiểu,1,1,1,1,1.0
nhận ngày,1,1,1,1,1.0
đồng ý trao học bổng,1,1,1,1,1.0
trường nhận được,1,1,1,1,1.0
được thông tin chi tiết,1,1,1,1,1.0
là thời hạn thu,1,1,1,1,1.0
chưa hoàn,1,1,1,1,1.0
tham gia xét,1,1,1,1,1.0
được cấp sau,1,1,1,1,1.0
đợt xét vào,1,1,1,1,1.0
nhận hoàn trả thông qua,1,1,1,1,1.0
được chi trả cho,1,1,1,1,1.0
thực hiện hoàn trả khi,1,1,1,1,1.0
quyết định trao,1,1,1,1,1.0
trao số lượng,1,1,1,1,1.0
nước tài trợ,1,1,1,1,1.0
quy định thời gian không hợp lệ sau,1,1,1,1,1.0
thiết lập nhằm hỗ trợ,1,1,1,1,1.0
cam kết gửi,1,1,1,1,1.0
được điền theo,1,1,1,1,1.0
theo đường link,1,1,1,1,1.0
dự kiến tổ chức trong,1,1,1,1,1.0
có nguồn link,1,1,1,1,1.0
làm đề nghị,1,1,1,1,1.0
chỉ cần làm đề nghị,1,1,1,1,1.0
sẽ thực hiện việc xét và cấp,1,1,1,1,1.0
được dự kiến đến,1,1,1,1,1.0
được tính đến ngày,1,1,1,1,1.0
trước đây có tên,1,1,1,1,1.0
đăng ký cho,1,1,1,1,1.0
không xét,1,1,1,1,1.0
phải chịu trách nhiệm tham gia,1,1,1,1,1.0
được phát động bởi,1,1,1,1,1.0
được chuyển hàng tháng,1,1,1,1,1.0
đến trước lúc,1,1,1,1,1.0
được đưa bởi,1,1,1,1,1.0
có liên kết bài viết,1,1,1,1,1.0
kỳ diễn ra,1,1,1,1,1.0
được đề nghị đến dự,1,1,1,1,1.0
được kiểm tra theo,1,1,1,1,1.0
phát hành theo,1,1,1,1,1.0
thực hiện thủ tục,1,1,1,1,1.0
được chuyển tiền học bổng,1,1,1,1,1.0
gửi công văn về,1,1,1,1,1.0
cần có với,1,1,1,1,1.0
lưu theo mẫu,1,1,1,1,1.0
xét duyệt bởi,1,1,1,1,1.0
xét duyệt/sàng lọc,1,1,1,1,1.0
thời gian áp dụng,1,1,1,1,1.0
được thanh toán theo,1,1,1,1,1.0
thanh toán vào,1,1,1,1,1.0
như trong,1,1,1,1,1.0
giảm so với,1,1,1,1,1.0
được xét giải,1,1,1,1,1.0
ký kết Biên bản ghi nhớ với,1,1,1,1,1.0
soát lỗi,1,1,1,1,1.0
sẽ thông báo,1,1,1,1,1.0
được bổ sung hồ sơ,1,1,1,1,1.0
là dạng,1,1,1,1,1.0
được từ,1,1,1,1,1.0
được thực hiện sau khi cung cấp,1,1,1,1,1.0
được đăng ký năm học,1,1,1,1,1.0
chốt,1,1,1,1,1.0
nhất trí,1,1,1,1,1.0
được mở bởi,1,1,1,1,1.0
đóng học phí,1,1,1,1,1.0
có cách,1,1,1,1,1.0
quy định việc thu,1,1,1,1,1.0
tổ chức cùng với,1,1,1,1,1.0
được phối hợp vận động tại,1,1,1,1,1.0
cần là,1,1,1,1,1.0
cần có sự quan tâm đến,1,1,1,1,1.0
cần có trình độ tiếng Anh tương đương,1,1,1,1,1.0
được miễn học phí,1,1,1,1,1.0
nhận hồ sơ theo quy định,1,1,1,1,1.0
theo yêu cầu trong,1,1,1,1,1.0
nhận đề nghị,1,1,1,1,1.0
thiếu hồ sơ học bổng ở,1,1,1,1,1.0
được xét duyệt theo,1,1,1,1,1.0
có số máy lẻ,1,1,1,1,1.0
được lưu ý bởi,1,1,1,1,1.0
phỏng vấn dự kiến vào,1,1,1,1,1.0
có dán ảnh bằng,1,1,1,1,1.0
thuộc toàn,1,1,1,1,1.0
tại quốc gia,1,1,1,1,1.0
được hiển thị chi tiết trong,1,1,1,1,1.0
không có tên trong,1,1,1,1,1.0
có thời hạn thu,1,1,1,1,1.0
đối chiếu trước khi,1,1,1,1,1.0
bị hạ một bậc điểm rèn luyện trong,1,1,1,1,1.0
còn nợ học phí sau kết thúc kỳ thi,1,1,1,1,1.0
không được đăng ký môn học trong,1,1,1,1,1.0
không được đăng ký học kỳ phụ,1,1,1,1,1.0
không được đăng ký bổ sung,1,1,1,1,1.0
không nộp học phí từ hai học kỳ trở lên sẽ bị xem xét,1,1,1,1,1.0
có thời gian tập trung sinh viên,1,1,1,1,1.0
có thời gian tổ chức,1,1,1,1,1.0
phải nghiêm túc tham dự,1,1,1,1,1.0
đưa ra yêu cầu tham dự,1,1,1,1,1.0
được cập nhật từ,1,1,1,1,1.0
xuất hiện thông báo,1,1,1,1,1.0
dùng để liên hệ,1,1,1,1,1.0
đóng khoảng,1,1,1,1,1.0
nhằm tìm kiếm,1,1,1,1,1.0
được giới thiệu vị trí tuyển dụng bởi,1,1,1,1,1.0
mã số là,1,1,1,1,1.0
được mời nhận,1,1,1,1,1.0
địa điểm nhận,1,1,1,1,1.0
là nơi thực hiện,1,1,1,1,1.0
cần đạt từ,1,1,1,1,1.0
còn hạn trong vòng,1,1,1,1,1.0
tăng lên khi đăng ký,1,1,1,1,1.0
cần tối thiểu là,1,1,1,1,1.0
cần còn thời hạn trong,1,1,1,1,1.0
quy định nơi nộp,1,1,1,1,1.0
không được nộp trực tiếp sang,1,1,1,1,1.0
không được hoàn trả,1,1,1,1,1.0
được tìm hiểu bởi,1,1,1,1,1.0
cần đủ điều kiện để,1,1,1,1,1.0
được đề nghị sinh viên,1,1,1,1,1.0
tiếp nhận trong khoảng thời gian,1,1,1,1,1.0
không nộp theo,1,1,1,1,1.0
cần tìm hiểu,1,1,1,1,1.0
nộp hồ sơ theo quy định tại,1,1,1,1,1.0
làm đơn gửi,1,1,1,1,1.0
gửi email về,1,1,1,1,1.0
thời hạn nhận trước,1,1,1,1,1.0
được thu đến,1,1,1,1,1.0
nhận đơn từ,1,1,1,1,1.0
nhận đơn đến hết,1,1,1,1,1.0
được cho phép lùi hạn muộn nhất,1,1,1,1,1.0
được kiểm định đạt,1,1,1,1,1.0
quan tâm và chú trọng,1,1,1,1,1.0
có tính cập nhật cao của,1,1,1,1,1.0
đã biên soạn,1,1,1,1,1.0
được vận hành ổn định tại,1,1,1,1,1.0
cập nhật hằng năm,1,1,1,1,1.0
